Country Name,"Country Code","Series Name","Series Code","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
Bulgaria,"BGR","GNI (current US$)","NY.GNP.MKTP.CD","49627734533.6402","55873847138.2865","53578705650.4599","54582545466.8838","56590366978.7003","49201494559.0569","52276668552.0362","57866861423.221","64214009656.0048","66968982827.7046"
Burkina Faso,"BFA","GNI (current US$)","NY.GNP.MKTP.CD","9807542028.87947","11592645414.5434","12243495998.7762","13080708252.0415","13337501703.1647","11293125626.5734","12261728542.5585","13577335799.2769","15387935651.7684","15326472487.9717"
Burundi,"BDI","GNI (current US$)","NY.GNP.MKTP.CD","2021328812.72312","2218375410.85042","2326791660.28888","2453425870.69514","2698994566.90227","3102740807.08657","2732027292.17522","2744021929.47435","2673857144.9271","2637727944.22381"
Cabo Verde,"CPV","GNI (current US$)","NY.GNP.MKTP.CD","1591147121.9859","1792779485.57524","1667229959.80028","1785866825.96527","1767262553.51691","1537742030.29208","1603557429.27734","1707314517.29066","1919741428.16616","1938894076.0565"
Cambodia,"KHM","GNI (current US$)","NY.GNP.MKTP.CD","10727606651.3343","12229474121.1778","13324765051.9712","14575360631.4731","15825602128.3715","16944761320.3368","18788293249.7557","20800209502.6391","22915193840.1748","25525556830.0006"
Cameroon,"CMR","GNI (current US$)","NY.GNP.MKTP.CD","27243247447.2725","30327345839.542","29709679445.3423","33109063702.218","36096675699.9846","31773333574.251","33255787660.4609","35437229950.1582","39233893813.3556","38827845867.3758"
Canada,"CAN","GNI (current US$)","NY.GNP.MKTP.CD","1585379875651.19","1759453773319.65","1795919869603.49","1818471075757.13","1776572160702.32","1532663548013.94","1509327936731.45","1628291572163.23","1692778505552.34","1719248124234.35"
Cayman Islands,"CYM","GNI (current US$)","NY.GNP.MKTP.CD","3934273850.95404","4044360134.40538","2905095163.80655","2646160086.40346","2632477259.09036","2793106444.25777","2950833553.34213","3460583223.32893","3852947437.89752","4493181807.27229"
Central African Republic,"CAF","GNI (current US$)","NY.GNP.MKTP.CD","2152234701.16774","2447711151.39652","2521348254.44324","1706709151.81952","1914517016.76107","1716880210.25294","1847781813.23295","2177935400.05043","2386745257.73409","2386023521.66114"
Chad,"TCD","GNI (current US$)","NY.GNP.MKTP.CD","10312399364.7461","11856128211.9459","12067690556.3598","12362322220.9534","13336602010.745","10618477273.031","9911697594.4878","9869508954.25817","11075017680.0106","11140998595.3498"
Channel Islands,"CHI","GNI (current US$)","NY.GNP.MKTP.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Chile,"CHL","GNI (current US$)","NY.GNP.MKTP.CD","203115009358.564","236993114783.813","254520086414.553","264303336057.959","250558977521.1","236571157262.36","242625289389.278","265577078059.435","284105303708.788","269285900902.038"
China,"CHN","GNI (current US$)","NY.GNP.MKTP.CD","6061091977327.45","7481123496788.67","8512412397984.89","9492579024339.07","10488982516424.1","11008770774789.2","11177576943336.6","12294278570160.4","13833789298669.9","14239928203346.7"
Colombia,"COL","GNI (current US$)","NY.GNP.MKTP.CD","276075209462.956","320620818937.099","356796963029.411","368706346309.552","369869131538.365","289391125632.043","279780272017.32","306181550715.112","325596541466.94","315868086615.601"
